txt,confidence,vertices,boundBox,slopes,width,height,direction,mid_point,crop_idx,Left,Top
ELMIVE,100,"[(2115, 394), (2115, 473), (2107, 473), (2107, 394)]","{'Width': 8, 'Height': 79, 'Left': 2107, 'Top': 394}","(-300.0, -0.0)",8.0,79.0,vertical,"(2111.0, 433.5)","(0, 0)",2107,394
SPEAKING,100,"[(23, 723), (22, 840), (3, 840), (4, 723)]","{'Width': 20, 'Height': 117, 'Left': 3, 'Top': 723}","(-65.239, -0.0)",19.0,117.00427342623003,vertical,"(13.0, 781.5)","(0, 1)",3,723
WOO,100,"[(4, 981), (39, 981), (39, 1000), (4, 1000)]","{'Width': 35, 'Height': 19, 'Left': 4, 'Top': 981}","(0.0, -300.0)",19.0,35.0,horizontal,"(21.5, 990.5)","(0, 1)",4,981
808,100,"[(6, 962), (36, 961), (37, 981), (7, 982)]","{'Width': 31, 'Height': 21, 'Left': 6, 'Top': 961}","(-0.019, 11.152)",20.024984394500787,30.01666203960727,horizontal,"(21.5, 971.5)","(0, 1)",6,961
A,100,"[(41, 370), (41, 394), (13, 394), (13, 370)]","{'Width': 28, 'Height': 24, 'Left': 13, 'Top': 370}","(-300.0, -0.0)",28.0,24.0,vertical,"(27.0, 382.0)","(0, 1)",13,370
practical,100,"[(41, 424), (41, 540), (13, 540), (13, 424)]","{'Width': 28, 'Height': 116, 'Left': 13, 'Top': 424}","(-300.0, -0.0)",28.0,116.0,vertical,"(27.0, 482.0)","(0, 1)",13,424
guide,100,"[(41, 564), (41, 642), (13, 642), (13, 564)]","{'Width': 28, 'Height': 78, 'Left': 13, 'Top': 564}","(-300.0, -0.0)",28.0,78.0,vertical,"(27.0, 603.0)","(0, 1)",13,564
TO,100,"[(41, 666), (41, 701), (13, 701), (13, 666)]","{'Width': 28, 'Height': 35, 'Left': 13, 'Top': 666}","(-300.0, -0.0)",28.0,35.0,vertical,"(27.0, 683.5)","(0, 1)",13,666
CONFIDENT,100,"[(48, 723), (48, 868), (28, 868), (28, 723)]","{'Width': 20, 'Height': 145, 'Left': 28, 'Top': 723}","(-300.0, -0.0)",20.0,145.0,vertical,"(38.0, 795.5)","(0, 1)",28,723
808.5808,100,"[(57, 960), (144, 956), (145, 976), (58, 980)]","{'Width': 88, 'Height': 24, 'Left': 57, 'Top': 956}","(-0.026, 11.152)",20.024984394500787,87.09190547921202,horizontal,"(101.0, 968.0)","(0, 1)",57,956
DIC,100,"[(57, 981), (91, 981), (91, 1000), (57, 1000)]","{'Width': 34, 'Height': 19, 'Left': 57, 'Top': 981}","(0.0, -300.0)",19.0,34.0,horizontal,"(74.0, 990.5)","(0, 1)",57,981
OCCASION,100,"[(98, 688), (96, 941), (68, 941), (70, 688)]","{'Width': 30, 'Height': 253, 'Left': 68, 'Top': 688}","(-70.537, -0.0)",28.0,253.00790501484337,vertical,"(83.0, 814.5)","(0, 1)",68,688
DICKSON,100,"[(83, 305), (84, 410), (71, 410), (70, 305)]","{'Width': 14, 'Height': 105, 'Left': 70, 'Top': 305}","(58.548, -0.0)",13.0,105.00476179678711,vertical,"(77.0, 357.5)","(0, 1)",70,305
RISING,100,"[(100, 460), (98, 631), (70, 631), (72, 460)]","{'Width': 30, 'Height': 171, 'Left': 70, 'Top': 460}","(-47.675, -0.0)",28.0,171.011695506477,vertical,"(85.0, 545.5)","(0, 1)",70,460
THE,100,"[(84, 645), (85, 676), (74, 676), (73, 645)]","{'Width': 12, 'Height': 31, 'Left': 73, 'Top': 645}","(17.286, -0.0)",11.0,31.016124838541646,vertical,"(79.0, 660.5)","(0, 1)",73,645
TO,100,"[(96, 650), (96, 671), (86, 671), (86, 650)]","{'Width': 10, 'Height': 21, 'Left': 86, 'Top': 650}","(-300.0, -0.0)",10.0,21.0,vertical,"(91.0, 660.5)","(0, 1)",86,650
PAUL,100,"[(100, 330), (100, 387), (89, 387), (89, 330)]","{'Width': 11, 'Height': 57, 'Left': 89, 'Top': 330}","(-300.0, -0.0)",11.0,57.0,vertical,"(94.5, 358.5)","(0, 1)",89,330
CHA,100,"[(112, 981), (147, 981), (147, 1000), (112, 1000)]","{'Width': 35, 'Height': 19, 'Left': 112, 'Top': 981}","(0.0, -300.0)",19.0,35.0,horizontal,"(129.5, 990.5)","(0, 1)",112,981
World,100,"[(159, 816), (158, 867), (114, 866), (115, 815)]","{'Width': 45, 'Height': 52, 'Left': 114, 'Top': 815}","(-28.438, 0.013)",44.01136216933077,51.0098029794274,vertical,"(136.5, 841.0)","(0, 1)",114,815
Words,100,"[(161, 669), (160, 723), (116, 722), (117, 668)]","{'Width': 45, 'Height': 55, 'Left': 116, 'Top': 668}","(-30.11, 0.013)",44.01136216933077,54.00925846556311,vertical,"(138.5, 695.5)","(0, 1)",116,668
Shape,100,"[(160, 725), (159, 777), (116, 776), (117, 724)]","{'Width': 44, 'Height': 53, 'Left': 116, 'Top': 724}","(-28.995, 0.013)",43.01162633521314,52.009614495783374,vertical,"(138.0, 750.5)","(0, 1)",116,724
Our,100,"[(159, 780), (159, 813), (116, 812), (116, 779)]","{'Width': 43, 'Height': 34, 'Left': 116, 'Top': 779}","(-300.0, 0.013)",43.01162633521314,33.0,vertical,"(137.5, 796.0)","(0, 1)",116,779
How,100,"[(161, 627), (160, 666), (117, 665), (118, 626)]","{'Width': 44, 'Height': 40, 'Left': 117, 'Top': 626}","(-21.746, 0.013)",43.01162633521314,39.01281840626232,vertical,"(139.0, 646.0)","(0, 1)",117,626
Storylines,100,"[(166, 300), (162, 585), (118, 584), (122, 299)]","{'Width': 48, 'Height': 286, 'Left': 118, 'Top': 299}","(-39.729, 0.013)",44.01136216933077,285.02806879323305,vertical,"(142.0, 442.0)","(0, 1)",118,299
CHAMBERLIN,100,"[(141, 157), (141, 245), (127, 245), (127, 157)]","{'Width': 14, 'Height': 88, 'Left': 127, 'Top': 157}","(-300.0, -0.0)",14.0,88.0,vertical,"(134.0, 201.0)","(0, 1)",127,157
J.EDWARD,100,"[(160, 163), (160, 237), (145, 237), (145, 163)]","{'Width': 15, 'Height': 74, 'Left': 145, 'Top': 163}","(-300.0, -0.0)",15.0,74.0,vertical,"(152.5, 200.0)","(0, 1)",145,163
HER,100,"[(173, 983), (206, 984), (206, 994), (173, 993)]","{'Width': 33, 'Height': 11, 'Left': 173, 'Top': 983}","(0.017, -300.0)",10.0,33.015148038438355,horizontal,"(189.5, 988.5)","(0, 1)",173,983
808.54,100,"[(174, 960), (238, 962), (238, 976), (174, 974)]","{'Width': 64, 'Height': 16, 'Left': 174, 'Top': 960}","(0.017, -300.0)",14.0,64.03124237432849,horizontal,"(206.0, 968.0)","(0, 1)",174,960
AGE,100,"[(217, 705), (216, 737), (175, 736), (176, 704)]","{'Width': 42, 'Height': 33, 'Left': 175, 'Top': 704}","(-17.843, 0.014)",41.012193308819754,32.01562118716424,vertical,"(196.0, 720.5)","(0, 1)",175,704
