txt,confidence,vertices,boundBox,slopes,font,word_len,direction,center_point,crop_idx,Left,Top
808.3,100,"[(1033, 1178), (1092, 1178), (1092, 1192), (1033, 1192)]","{'Width': 59, 'Height': 14, 'Left': 1033, 'Top': 1178}","(-0.0, 1000.0, 0.0, 1000.0)",14.0,59.0,horizontal,"(1062.5, 1185.0)","(0, 0)",1033,1178
IHM,100,"[(1069, 1215), (1033, 1214), (1033, 1202), (1069, 1203)]","{'Width': 36, 'Height': 13, 'Left': 1033, 'Top': 1202}","(-0.028, 1000.0, -0.028, 1000.0)",12.0,36.013886210738214,horizontal,"(1051.0, 1208.5)","(0, 0)",1033,1202
WHITE,100,"[(1092, 1053), (1091, 1156), (1056, 1156), (1057, 1053)]","{'Width': 36, 'Height': 103, 'Left': 1056, 'Top': 1053}","(103.0, 0.0, 103.0, -0.0)",35.0,103.00485425454472,vertical,"(1074.0, 1104.5)","(0, 0)",1056,1053
THESAURUS,100,"[(1094, 752), (1092, 1025), (1058, 1025), (1060, 752)]","{'Width': 36, 'Height': 273, 'Left': 1058, 'Top': 752}","(136.5, 0.0, 136.5, -0.0)",34.0,273.00732590903124,vertical,"(1076.0, 888.5)","(0, 0)",1058,752
WRITER'S,100,"[(1097, 407), (1095, 624), (1060, 624), (1062, 407)]","{'Width': 37, 'Height': 217, 'Left': 1060, 'Top': 407}","(108.5, 0.0, 108.5, -0.0)",35.0,217.00921639414304,vertical,"(1078.5, 515.5)","(0, 0)",1060,407
IDEA,100,"[(1095, 636), (1094, 739), (1060, 739), (1061, 636)]","{'Width': 35, 'Height': 103, 'Left': 1060, 'Top': 636}","(103.0, 0.0, 103.0, -0.0)",34.0,103.00485425454472,vertical,"(1077.5, 687.5)","(0, 0)",1060,636
THE,100,"[(1097, 304), (1096, 392), (1062, 392), (1063, 304)]","{'Width': 35, 'Height': 88, 'Left': 1062, 'Top': 304}","(88.0, 0.0, 88.0, -0.0)",34.0,88.0056816347672,vertical,"(1079.5, 348.0)","(0, 0)",1062,304
WOO,100,"[(1129, 1214), (1164, 1214), (1164, 1226), (1129, 1226)]","{'Width': 35, 'Height': 12, 'Left': 1129, 'Top': 1214}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,35.0,horizontal,"(1146.5, 1220.0)","(0, 0)",1129,1214
808.3,100,"[(1130, 1191), (1188, 1191), (1188, 1202), (1130, 1202)]","{'Width': 58, 'Height': 11, 'Left': 1130, 'Top': 1191}","(-0.0, 1000.0, 0.0, 1000.0)",11.0,58.0,horizontal,"(1159.0, 1196.5)","(0, 0)",1130,1191
How,100,"[(1191, 521), (1191, 607), (1149, 607), (1149, 521)]","{'Width': 42, 'Height': 86, 'Left': 1149, 'Top': 521}","(1000.0, 0.0, 1000.0, -0.0)",42.0,86.0,vertical,"(1170.0, 564.0)","(0, 0)",1149,521
Fiction,100,"[(1191, 622), (1191, 751), (1149, 751), (1149, 622)]","{'Width': 42, 'Height': 129, 'Left': 1149, 'Top': 622}","(1000.0, 0.0, 1000.0, -0.0)",42.0,129.0,vertical,"(1170.0, 686.5)","(0, 0)",1149,622
Works,100,"[(1191, 764), (1191, 883), (1149, 883), (1149, 764)]","{'Width': 42, 'Height': 119, 'Left': 1149, 'Top': 764}","(1000.0, 0.0, 1000.0, -0.0)",42.0,119.0,vertical,"(1170.0, 823.5)","(0, 0)",1149,764
JAMES,100,"[(1179, 1030), (1180, 1129), (1156, 1129), (1155, 1030)]","{'Width': 25, 'Height': 99, 'Left': 1155, 'Top': 1030}","(-99.0, 0.0, -99.0, -0.0)",24.0,99.00505037623081,vertical,"(1167.5, 1079.5)","(0, 0)",1155,1030
WO,100,"[(1180, 1143), (1181, 1188), (1158, 1188), (1157, 1143)]","{'Width': 24, 'Height': 45, 'Left': 1157, 'Top': 1143}","(-45.0, 0.0, -45.0, -0.0)",23.0,45.0111097397076,vertical,"(1169.0, 1165.5)","(0, 0)",1157,1143
37131,100,"[(1160, 351), (1185, 355), (1182, 371), (1158, 367)]","{'Width': 27, 'Height': 20, 'Left': 1158, 'Top': 351}","(-0.16, 5.333, -0.167, 8.0)",16.201668046348402,24.824513961768602,horizontal,"(1171.25, 361.0)","(0, 0)",1158,351
ONTO,100,"[(1171, 294), (1188, 298), (1185, 311), (1168, 307)]","{'Width': 20, 'Height': 17, 'Left': 1168, 'Top': 294}","(-0.235, 4.333, -0.235, 4.333)",13.341664064126334,17.46424919657298,horizontal,"(1178.0, 302.5)","(0, 0)",1168,294
K,100,"[(1171, 374), (1179, 375), (1177, 392), (1169, 391)]","{'Width': 10, 'Height': 18, 'Left': 1169, 'Top': 374}","(-0.125, 8.5, -0.125, 8.5)",17.11724276862369,8.06225774829855,horizontal,"(1174.0, 383.0)","(0, 0)",1169,374
Parkdale,100,"[(1181, 374), (1226, 379), (1223, 397), (1179, 392)]","{'Width': 47, 'Height': 23, 'Left': 1179, 'Top': 374}","(-0.111, 6.0, -0.114, 9.0)",18.17952893358475,44.78005267082807,horizontal,"(1202.25, 385.5)","(0, 0)",1179,374
168,100,"[(1184, 355), (1200, 357), (1197, 373), (1182, 371)]","{'Width': 18, 'Height': 18, 'Left': 1182, 'Top': 355}","(-0.125, 5.333, -0.133, 8.0)",16.201668046348402,15.628630723509328,horizontal,"(1190.75, 364.0)","(0, 0)",1182,355
PUBLIC,100,"[(1189, 298), (1208, 303), (1206, 315), (1186, 311)]","{'Width': 22, 'Height': 17, 'Left': 1186, 'Top': 298}","(-0.263, 6.0, -0.2, 4.333)",12.753594562361386,20.021480379379817,horizontal,"(1197.25, 306.75)","(0, 0)",1186,298
103,100,"[(1200, 358), (1215, 360), (1213, 375), (1198, 373)]","{'Width': 17, 'Height': 17, 'Left': 1198, 'Top': 358}","(-0.133, 7.5, -0.133, 7.5)",15.132745950421556,15.132745950421556,horizontal,"(1206.5, 366.5)","(0, 0)",1198,358
LARY,100,"[(1208, 303), (1230, 308), (1228, 320), (1205, 315)]","{'Width': 25, 'Height': 17, 'Left': 1205, 'Top': 303}","(-0.227, 6.0, -0.217, 4.0)",12.26742096872471,23.049116468618298,horizontal,"(1217.75, 311.5)","(0, 0)",1205,303
356,100,"[(1212, 359), (1227, 361), (1224, 377), (1210, 375)]","{'Width': 17, 'Height': 18, 'Left': 1210, 'Top': 359}","(-0.133, 5.333, -0.143, 8.0)",16.201668046348402,14.637440787076255,horizontal,"(1218.25, 368.0)","(0, 0)",1210,359
SEG,100,"[(1236, 1211), (1271, 1211), (1271, 1223), (1236, 1223)]","{'Width': 35, 'Height': 12, 'Left': 1236, 'Top': 1211}","(-0.0, 1000.0, 0.0, 1000.0)",12.0,35.0,horizontal,"(1253.5, 1217.0)","(0, 0)",1236,1211
